# ----------------------------------------
# Wasabi Mobile Data
# Top Events
# 20191224-20191231
# ----------------------------------------

Event Action,story_id,Total Events,Unique Events,Event Value,Avg. Value
UnknownNumber_05_unlockFree,UnknownNumber,6,6,6,1.00
Assassin_05_unlock,Assassin,5,5,5,1.00
BeMineAgain_02_unlockFree,BeMineAgain,5,5,5,1.00
BoundToHappen_02_unlockFree,BoundToHappen,5,5,5,1.00
chapter_backToStory,Assassin,5,5,5,1.00
DiaryofaDominatrix_03_resume,DiaryofaDominatrix,5,5,5,1.00
KillerinPhone_03_unlockFree,KillerinPhone,5,5,5,1.00
LoveBites_01_resume,LoveBites,5,4,5,1.00
LoveBites_05_unlock,LoveBites,5,5,5,1.00
TwinFluencers_02_unlockFree,TwinFluencers,5,5,5,1.00
UnknownNumber_07_resume,UnknownNumber,5,5,5,1.00
UnknownNumber_07_unlock,UnknownNumber,5,5,5,1.00
WolfenMoon_04_resume,WolfenMoon,5,5,5,1.00
Assassin_07_unlock,Assassin,4,4,4,1.00
BoundToHappen_02_resume,BoundToHappen,4,4,4,1.00
BoundToHappen_03_unlockFree,BoundToHappen,4,4,4,1.00
chapter_backToStory,DiaryofaDominatrix,4,4,4,1.00
chapter_backToStory,TattooArtist,4,4,4,1.00
chapter_start,CasinoHeist,4,1,4,1.00
Cupido_07_unlockFree,Cupido,4,4,4,1.00
FoundersKeepers_01_resume,FoundersKeepers,4,4,4,1.00
Love&Care_02_unlockFree,Love&Care,4,4,4,1.00
LoveBites_02_resume,LoveBites,4,4,4,1.00
PerfectWish_02_unlockFree,PerfectWish,4,4,4,1.00
TattooArtist_03_resume,TattooArtist,4,4,4,1.00
TattooArtist_05_resume,TattooArtist,4,4,4,1.00
TheArrangement_02_resume,TheArrangement,4,4,4,1.00
TwinFluencers_01_resume,TwinFluencers,4,3,4,1.00
UnknownNumber_03_resume,UnknownNumber,4,4,4,1.00
UnknownNumber_05_resume,UnknownNumber,4,4,4,1.00
WolfenMoon_03_resume,WolfenMoon,4,4,4,1.00
Assassin_01_resume,Assassin,3,2,3,1.00
Assassin_02_resume,Assassin,3,3,3,1.00
Assassin_04_resume,Assassin,3,3,3,1.00
chapter_backToStory,Love&Care,3,3,3,1.00
chapter_backToStory,SanguinesBounty,3,3,3,1.00
chapter_end,CasinoHeist,3,1,3,1.00
chapter_start,Hemlock,3,2,3,1.00
Cupido_01_resume,Cupido,3,3,3,1.00
Heartsong_01_resume,Heartsong,3,3,3,1.00
Heartsong_02_unlockFree,Heartsong,3,3,3,1.00
HiddenQueen_02_unlockFree,HiddenQueen,3,3,3,1.00
HiddenQueen_03_resume,HiddenQueen,3,3,3,1.00
HiddenQueen_03_unlockFree,HiddenQueen,3,3,3,1.00
KillerinPhone_01_resume,KillerinPhone,3,3,3,1.00
Love&Care_03_unlockFree,Love&Care,3,3,3,1.00
Love&Care_04_unlockFree,Love&Care,3,3,3,1.00
Love&Care_05_unlockFree,Love&Care,3,3,3,1.00
LoveBites_05_unlockFree,LoveBites,3,3,3,1.00
SanguinesBounty_02_unlockFree,SanguinesBounty,3,3,3,1.00
SanguinesBounty_03_unlockFree,SanguinesBounty,3,3,3,1.00
SpringHarbor_02_unlockFree,SpringHarbor,3,3,3,1.00
SpringHarbor_03_unlockFree,SpringHarbor,3,3,3,1.00
TheArrangement_01_resume,TheArrangement,3,1,3,1.00
UnknownNumber_06_resume,UnknownNumber,3,3,3,1.00
Assassin_05_resume,Assassin,2,2,2,1.00
Assassin_06_unlock,Assassin,2,2,2,1.00
Assassin_06_unlockFree,Assassin,2,2,2,1.00
chapter_backToStory,TheArrangement,2,2,2,1.00
chapter_backToStory,WhiteBFProblems,2,2,2,1.00
Cupido_05_unlockFree,Cupido,2,1,2,1.00
Cupido_06_unlockFree,Cupido,2,2,2,1.00
Heartsong_03_unlockFree,Heartsong,2,2,2,1.00
Love&Care_03_resume,Love&Care,2,2,2,1.00
Love&Care_04_resume,Love&Care,2,2,2,1.00
LoveBites_03_resume,LoveBites,2,2,2,1.00
LoveBites_05_resume,LoveBites,2,2,2,1.00
PerfectWish_01_resume,PerfectWish,2,2,2,1.00
WhiteBFProblems_03_resume,WhiteBFProblems,2,2,2,1.00
WolfenMoon_05_resume,WolfenMoon,2,2,2,1.00
Assassin_05_unlockFree,Assassin,1,1,1,1.00
BeMineAgain_01_resume,BeMineAgain,1,1,1,1.00
BeMineAgain_02_resume,BeMineAgain,1,1,1,1.00
BeMineAgain_03_resume,BeMineAgain,1,1,1,1.00
CasinoHeist_02_unlockFree,CasinoHeist,1,1,1,1.00
CasinoHeist_03_resume,CasinoHeist,1,1,1,1.00
CasinoHeist_03_unlockFree,CasinoHeist,1,1,1,1.00
chapter_backToStory,BoundToHappen,1,1,1,1.00
chapter_backToStory,Heartsong,1,1,1,1.00
chapter_backToStory,TwinFluencers,1,1,1,1.00
chapter_start,Submetropolitan,1,0,1,1.00
Cupido_02_resume,Cupido,1,1,1,1.00
Cupido_04_resume,Cupido,1,1,1,1.00
Cupido_06_resume,Cupido,1,1,1,1.00
Heartsong_04_unlockFree,Heartsong,1,1,1,1.00
Heartsong_05_unlock,Heartsong,1,1,1,1.00
HiddenQueen_02_resume,HiddenQueen,1,1,1,1.00
KillerinPhone_02_resume,KillerinPhone,1,1,1,1.00
Love&Care_01_resume,Love&Care,1,1,1,1.00
Love&Care_05_resume,Love&Care,1,1,1,1.00
Love&Care_05_unlock,Love&Care,1,1,1,1.00
SanguinesBounty_01_resume,SanguinesBounty,1,1,1,1.00
SanguinesBounty_02_resume,SanguinesBounty,1,1,1,1.00
SanguinesBounty_03_resume,SanguinesBounty,1,1,1,1.00
SanguinesBounty_04_unlockFree,SanguinesBounty,1,1,1,1.00
SanguinesBounty_05_unlockFree,SanguinesBounty,1,1,1,1.00
SpringHarbor_01_resume,SpringHarbor,1,1,1,1.00
TattooArtist_04_resume,TattooArtist,1,1,1,1.00
TattooArtist_05_unlockFree,TattooArtist,1,1,1,1.00
WhiteBFProblems_02_resume,WhiteBFProblems,1,1,1,1.00
",,""2,826"",""1,690"",""2,826"",1.00"

Day Index,Total Events
"24/12/2019,""1,460"""
25/12/2019,553
26/12/2019,300
27/12/2019,206
28/12/2019,140
29/12/2019,91
30/12/2019,28
31/12/2019,48
",""2,826"""
